Year,No of Suicides
1979,3486.0
1980,3894.0
1981,4059.0
1982,3917.0
1983,4585.0
1984,4431.0
1985,4253.0
1986,4307.0
1987,4698.0
1988,4492.0
1989,4489.0
1990,4843.0
1991,5182.0
1992,5252.0
1993,5547.0
1994,5931.0
1995,6584.0
1996,6748.0
1997,6932.0
1998,6986.0
1999,6533.0
2000,6781.0
2001,7740.0
2002,7728.0
2003,7865.0
2004,8018.0
2005,8552.0
2006,8643.0
2007,8871.0
2008,9211.0
2009,9379.0
2010,9454.0
2011,9856.0
2012,10328.0
2013,10538.0
2014,10660.0
2015,11187.0
2016,11436.0
2017,12507.0
2018,12741.0
2019,13523.0
2020,13841.0
